"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Post Consumers","Lifetime Post Consumptions","Lifetime Negative feedback","Lifetime Negative Feedback from Users","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic watches at 95%","Lifetime Organic watches at 95%","Lifetime Paid watches at 95%","Lifetime Paid watches at 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - comment","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - share","Lifetime Post Stories by action type - comment","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - share","Lifetime Post consumers by type - clicks to play","Lifetime Post consumers by type - link clicks","Lifetime Post consumers by type - other clicks","Lifetime Post consumers by type - photo view","Lifetime Post Consumptions by type - clicks to play","Lifetime Post Consumptions by type - link clicks","Lifetime Post Consumptions by type - other clicks","Lifetime Post Consumptions by type - photo view","Lifetime Negative feedback - hide_all_clicks","Lifetime Negative feedback - hide_clicks","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Percentage of viewers at each interval (video post) - 0","Lifetime Percentage of viewers at each interval (video post) - 1","Lifetime Percentage of viewers at each interval (video post) - 2","Lifetime Percentage of viewers at each interval (video post) - 3","Lifetime Percentage of viewers at each interval (video post) - 4","Lifetime Percentage of viewers at each interval (video post) - 5","Lifetime Percentage of viewers at each interval (video post) - 6","Lifetime Percentage of viewers at each interval (video post) - 7","Lifetime Percentage of viewers at each interval (video post) - 8","Lifetime Percentage of viewers at each interval (video post) - 9","Lifetime Percentage of viewers at each interval (video post) - 10","Lifetime Percentage of viewers at each interval (video post) - 11","Lifetime Percentage of viewers at each interval (video post) - 12","Lifetime Percentage of viewers at each interval (video post) - 13","Lifetime Percentage of viewers at each interval (video post) - 14","Lifetime Percentage of viewers at each interval (video post) - 15","Lifetime Percentage of viewers at each interval (video post) - 16","Lifetime Percentage of viewers at each interval (video post) - 17","Lifetime Percentage of viewers at each interval (video post) - 18","Lifetime Percentage of viewers at each interval (video post) - 19","Lifetime Percentage of viewers at each interval (video post) - 20","Lifetime Percentage of viewers at each interval (video post) - 21","Lifetime Percentage of viewers at each interval (video post) - 22","Lifetime Percentage of viewers at each interval (video post) - 23","Lifetime Percentage of viewers at each interval (video post) - 24","Lifetime Percentage of viewers at each interval (video post) - 25","Lifetime Percentage of viewers at each interval (video post) - 26","Lifetime Percentage of viewers at each interval (video post) - 27","Lifetime Percentage of viewers at each interval (video post) - 28","Lifetime Percentage of viewers at each interval (video post) - 29","Lifetime Percentage of viewers at each interval (video post) - 30","Lifetime Percentage of viewers at each interval (video post) - 31","Lifetime Percentage of viewers at each interval (video post) - 32","Lifetime Percentage of viewers at each interval (video post) - 33","Lifetime Percentage of viewers at each interval (video post) - 34","Lifetime Percentage of viewers at each interval (video post) - 35","Lifetime Percentage of viewers at each interval (video post) - 36"
,,,,,,,,"Lifetime: The total number of people your Page post was served to. (Unique Users)","Lifetime: The number of people who saw your Page post in news feed or ticker, or on your Page's timeline. (Unique Users)","Lifetime: The number of people your advertised Page post was served to. (Unique Users)","Lifetime: The number of impressions of your Page post. (Total Count)","Lifetime: The number of impressions of your post in News Feed or ticker or on your Page's Timeline. (Total Count)","Lifetime: The number of impressions of your Page post in an Ad or Sponsored Story. (Total Count)","Lifetime: The number of people who clicked anywhere in your posts. (Unique Users)","Lifetime: The number of people who clicked anywhere in your post. (Unique Users)","Lifetime: The number of clicks anywhere in your post. (Total Count)","Lifetime: The number of people who have given negative feedback to your post. (Unique Users)","Lifetime: The number of times people have given negative feedback to your post. (Total Count)","Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users)","Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users)","Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users)","Lifetime: The number of times your video was watched at 95% of its length without any paid promotion, including watches that skipped to this point. (Total Count)","Lifetime: The number of times your video was watched at 95% of its length without any paid promotion, including watches that skipped to this point. (Unique Users)","Lifetime: The number of times your video was watched at 95% of its length after paid promotion, including watches that skipped to this point. (Total Count)","Lifetime: The number of times your video was watched at 95% of its length after paid promotion, including watches that skipped to this point. (Unique Users)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users)","Lifetime: Average time video viewed (Total Count)","Lifetime: Length of a video post (Total Count)","Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users)",,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who clicked anywhere in your post, by type. (Unique Users)",,,,"Lifetime: The number of clicks anywhere in your post, by type. (Total Count)",,,,"Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)",,"Lifetime: Views of your video at each moment as a percentage of all views, including views shorter than 3 seconds. (video post) (Total Count)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1608633496053228_1891901294393112,https://www.facebook.com/CervezaEstrellaJalisco/posts/1891901294393112:0,"¡La pasamos de maravilla en San Diego taking in the beautiful scenery! Nuestra siguiente parada es L.A. for the ultimate Cinco de Mayo celebration at @FiestaBroadway! #EstrellaJalisco",Photo,,,"05/11/2017 01:15:01 PM"," ",2460,2460,0,3292,3292,0,68,14,14,0,0,3075,2273,0,0,63,,,,,,,,,0,0,2,58,,2,57,,,,5,9,,,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1608633496053228_1891490531100855,https://www.facebook.com/CervezaEstrellaJalisco/videos/1891490531100855/,"Invita a mamá a bailar and celebrate today's brightest star! #DiaDeLasMadres #EstrellaJalisco",Video,,,"05/10/2017 02:00:14 PM"," ",2228,2228,0,3419,3419,0,89,29,46,0,0,3198,2079,0,0,83,157,150,0,0,215,210,0,0,0,3839,1,64,3,1,65,3,13,,24,,19,,27,,,,,,0.9023,1,0.9814,0.9395,0.6279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1608633496053228_1890997484483493,https://www.facebook.com/CervezaEstrellaJalisco/posts/1890997484483493:0,"Nos detuvimos en @Artelexia en San Diego and discovered the coolest Mexico-inspired creaciones. Gracias for showing us around your store! #EstrellaJalisco",Photo,,,"05/09/2017 01:00:15 PM"," ",2884,2884,0,4104,4104,0,89,18,22,2,2,3765,2627,0,0,81,,,,,,,,,0,0,1,75,1,1,78,1,,,10,9,,,12,10,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1608633496053228_1890543481195560,https://www.facebook.com/CervezaEstrellaJalisco/posts/1890543481195560:0,"We were welcomed to California with deliciosos mariscos at @Oscarsmex en San Diego! Gracias for being a part of our journey! #EstrellaJalisco",Photo,,,"05/08/2017 12:10:02 PM"," ",3961,3961,0,5371,5371,0,136,25,31,2,2,4805,3466,0,0,124,,,,,,,,,0,0,,117,,,117,,,,9,19,,,9,22,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1608633496053228_1889239024659339,https://www.facebook.com/CervezaEstrellaJalisco/posts/1889239024659339:0,"¡Los mariachis han llegado! Celebrate Cinco de Mayo with #EstrellaJalisco",Photo,,,"05/05/2017 07:33:37 PM"," ",4514,4514,0,6590,6590,0,123,66,86,1,1,6164,4188,0,0,107,,,,,,,,,0,0,3,61,2,4,62,2,,,18,51,,,19,67,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1608633496053228_1889135204669721,https://www.facebook.com/CervezaEstrellaJalisco/videos/1889135204669721/,"The celebration nunca para cuando tienes good friends y #EstrellaJalisco! ¡Feliz Cinco de Mayo!",Video,,,"05/05/2017 01:05:56 PM"," ",1345,1345,0,2011,2011,0,95,23,33,0,0,1774,1152,0,0,87,474,446,0,0,500,468,0,0,0,1502,,75,3,,76,3,14,,15,,16,,17,,,,,,0.962,1,1,0.974,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1608633496053228_1888047921445116,https://www.facebook.com/CervezaEstrellaJalisco/posts/1888047921445116:0,"Our last stop en Texas. ¡Teníamos que probar los adictivos tacos de @Tacoholics! El food truck que se convirtió en restaurant! Gracias por compartir su historia con #EstrellaJalisco! #TacoAddicts",Photo,,,"05/03/2017 01:00:11 PM"," ",5537,5537,0,8048,8048,0,224,123,158,1,1,5132,3726,0,0,118,,,,,,,,,0,0,8,129,6,14,138,6,,,81,53,,,95,63,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1608633496053228_1887506831499225,https://www.facebook.com/CervezaEstrellaJalisco/posts/1887506831499225:0,"Nuestro journey continúa! This time aprendimos sobre el arte de fabricar botas en El Paso. Thanks por una visita maravillosa @CABOOTS! #EstrellaJalisco",Photo,,,"05/02/2017 09:53:17 AM"," ",4764,4764,0,6576,6576,0,176,59,81,2,2,5173,3802,0,0,129,,,,,,,,,0,0,3,119,7,3,123,7,,,28,41,,,28,53,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1608633496053228_1887088684874373,https://www.facebook.com/CervezaEstrellaJalisco/posts/1887088684874373,"The Biggest Lotería Game Ever.",Photo,,,"05/01/2017 01:18:57 PM"," ",0,0,0,0,0,0,15,15,153,0,0,0,0,0,0,4,,,,,,,,,0,0,,,,,,,,,,15,,,,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
