Site Name,Placement ID,Section Name,Placement Name,Unit Size,Ad ID,Ad Name,Ad Format,* Served Impressions,* Clicks,* CTR,Interactions,Interaction Rate,Total Media Cost,eCPC
Centro,21164348,ROS,Prospecting_RICH_Flight_300x250,N/A,44376754,Tracking Pixel,Tracking Pixel,581059,72,0.01%,72,0.01%,0,0
Centro,21164350,ROS,Prospecting_RICH_YourTurn160x600,N/A,44376758,Tracking Pixel,Tracking Pixel,79342,79,0.10%,79,0.10%,0,0
Centro,21164353,ROS,Prospecting_YourTurn_Mobile_320x480,N/A,44376768,Tracking Pixel,Tracking Pixel,94,22,23.40%,22,23.40%,0,0
Centro,21164354,ROS,Prospecting_YourTurn_Mobile_320x50,N/A,44376769,Tracking Pixel,Tracking Pixel,77873,98,0.13%,98,0.13%,0,0
Centro,21164357,ROS,Prospecting_RICH_Flight_160x600,N/A,44376776,Tracking Pixel,Tracking Pixel,0,3,0.00%,3,0.00%,0,0
Centro,21164358,ROS,Prospecting_RICH_Flight_300x600,N/A,44376777,Tracking Pixel,Tracking Pixel,0,12,0.00%,12,0.00%,0,0
Centro,21164377,ROS,Prospecting_Spotify_Audio,N/A,44376801,Tracking Pixel,Tracking Pixel,343881,325,0.09%,325,0.09%,0,0
Centro,21172771,ROS,Prospecting_RICH_YourTurn_300x250,N/A,44396356,Tracking Pixel,Tracking Pixel,0,5,0.00%,5,0.00%,0,0
Centro,21172772,ROS,Prospecting_RICH_YourTurn_300x600,N/A,44396357,Tracking Pixel,Tracking Pixel,82,2,2.44%,2,2.44%,0,0
Centro,21172773,ROS,Prospecting_RICH_Flight_728x90,N/A,44396358,Tracking Pixel,Tracking Pixel,4459,6,0.13%,6,0.13%,0,0
Centro,21172774,ROS,Prospecting_RICH_YourTurn_728x90,N/A,44396359,Tracking Pixel,Tracking Pixel,0,2,0.00%,2,0.00%,0,0
Centro,21172780,ROS,Prospecting_Flight_OwnerIQ_300x600,N/A,44396365,Tracking Pixel,Tracking Pixel,28024,60,0.21%,60,0.21%,0,0
Centro,21172781,ROS,Prospecting_Flight_OwnerIQ_728x90,N/A,44396366,Tracking Pixel,Tracking Pixel,160613,115,0.07%,115,0.07%,0,0
Centro,21172782,ROS,Prospecting_Flight_OwnerIQ_300x250,N/A,44396367,Tracking Pixel,Tracking Pixel,282901,87,0.03%,87,0.03%,0,0
Centro,21172783,ROS,Prospecting_Flight_OwnerIQ_160x600,N/A,44396368,Tracking Pixel,Tracking Pixel,35008,72,0.21%,72,0.21%,0,0
Centro,21172800,ROS,Prospecting_Standard_PreRoll,N/A,44396403,In-Stream Tracking,In-Stream Tracking,426225,766,0.18%,766,0.18%,0,0
Centro,21172929,ROS,Prospecting_YourTurn_OwnerIQ_160x600,N/A,44396807,Tracking Pixel,Tracking Pixel,34948,53,0.15%,53,0.15%,0,0
Centro,21172930,ROS,Prospecting_YourTurn_OwnerIQ_300x250,N/A,44396808,Tracking Pixel,Tracking Pixel,283359,73,0.03%,73,0.03%,0,0
Centro,21172931,ROS,Prospecting_YourTurn_OwnerIQ_728x90,N/A,44396809,Tracking Pixel,Tracking Pixel,161348,98,0.06%,98,0.06%,0,0
Centro,21172932,ROS,Prospecting_YourTurn_OwnerIQ_300x600,N/A,44396810,Tracking Pixel,Tracking Pixel,28060,86,0.31%,86,0.31%,0,0
Centro,21172933,ROS,Prospecting_First Steps_OwnerIQ_160x600,N/A,44396811,Tracking Pixel,Tracking Pixel,34947,66,0.19%,66,0.19%,0,0
Centro,21172934,ROS,Prospecting_First Steps_OwnerIQ_300x250,N/A,44396812,Tracking Pixel,Tracking Pixel,282877,96,0.03%,96,0.03%,0,0
Centro,21172935,ROS,Prospecting_First Steps_OwnerIQ_728x90,N/A,44396813,Tracking Pixel,Tracking Pixel,161389,85,0.05%,85,0.05%,0,0
Centro,21172936,ROS,Prospecting_First Steps_OwnerIQ_300x600,N/A,44396814,Tracking Pixel,Tracking Pixel,28187,60,0.21%,60,0.21%,0,0
Centro,21172958,ROS,Prospecting_FirstSteps_Mobile_320x50,N/A,44396872,Tracking Pixel,Tracking Pixel,78045,89,0.11%,89,0.11%,0,0
Centro,21172959,ROS,Prospecting_FirstSteps_Mobile_320x480,N/A,44396873,Tracking Pixel,Tracking Pixel,86,30,34.88%,30,34.88%,0,0
Centro,21172962,ROS,Prospecting_Flight_Mobile_320x50,N/A,44396876,Tracking Pixel,Tracking Pixel,77456,80,0.10%,80,0.10%,0,0
Centro,21172963,ROS,Prospecting_Flight_Mobile_300x480,N/A,44396877,Tracking Pixel,Tracking Pixel,83,39,46.99%,39,46.99%,0,0
Centro,21172964,ROS,Prospecting_RICH_First Steps_728x90,N/A,44396878,Tracking Pixel,Tracking Pixel,0,2,0.00%,2,0.00%,0,0
Centro,21172965,ROS,Prospecting_RICH_First Steps_300x600,N/A,44396879,Tracking Pixel,Tracking Pixel,0,2,0.00%,2,0.00%,0,0
Centro,21172966,ROS,Prospecting_RICH_First Steps_300x250,N/A,44396880,Tracking Pixel,Tracking Pixel,0,15,0.00%,15,0.00%,0,0
Centro,21172967,ROS,Prospecting_RICH_First Steps_160x600,N/A,44396881,Tracking Pixel,Tracking Pixel,0,7,0.00%,7,0.00%,0,0
