,ConversionID,BrowserType,OperatingSystemType,DeviceType,path_lengths,paths_by_adname,State-Region,hour
0,464371561372,Unsupported,iOS 10.2,Tablet,1,[21172958],Wisconsin,16
1,466288852157,Chrome,Windows 10,PC,1,[21164348],Washington,23
2,464635931143,Safari,iOS 10.3,Smart Phone,1,[21172958],Washington,11
3,467359210744,Edge,Windows 10,PC,1,[21172800],Washington,16
4,467465234569,Chrome,Android 7.0,Smart Phone,1,[21164354],Minnesota,19
5,465026205219,Chrome,Android 6.0,Smart Phone,1,[21164354],Minnesota,23
6,467465234570,Chrome,Android 7.0,Smart Phone,1,[21164354],Minnesota,19
7,465031798988,Chrome,Android 6.0,Smart Phone,1,[21172962],California,23
8,465031798989,Chrome,Android 6.0,Smart Phone,1,[21172962],California,23
9,467943215301,Chrome,Android 5.1,Smart Phone,1,[21172800],Washington,16
10,467359210742,Edge,Windows 10,PC,1,[21172800],Washington,16
11,467359210743,Edge,Windows 10,PC,1,[21172800],Washington,16
12,465597477632,Internet Explorer on Windows 7_8 ,Windows 10,PC,1,[21172934],Washington,12
13,465597477633,Internet Explorer on Windows 7_8 ,Windows 10,PC,1,[21172934],Washington,12
14,465332298226,Chrome,iOS 10.3,Smart Phone,1,[21172958],Washington,21
15,464232627908,Chrome,Android 7.0,Smart Phone,1,[21164354],Minnesota,23
16,464920650356,Safari,iOS 10.1,Tablet,1,[21172958],Illinois,17
17,469406442124,Chrome,Windows 7,PC,1,[21164348],Georgia,14
18,468798026617,Safari,iOS 10.3,Smart Phone,1,[21172958],Washington,0
19,469406442121,Chrome,Windows 7,PC,1,[21164348],Georgia,14
20,464371561373,Unsupported,iOS 10.2,Tablet,1,[21172958],Wisconsin,16
21,468798026616,Safari,iOS 10.3,Smart Phone,1,[21172958],Washington,0
22,466288852156,Chrome,Windows 10,PC,1,[21164348],Washington,23
23,472135755373,Chrome,Windows 10,PC,1,[21164348],Pennsylvania,14
24,470344417148,Safari,iOS 10.3,Smart Phone,1,[21172800],Washington,14
25,465983081910,Chrome,Android 5.0,Tablet,1,[21172800],Minnesota,23
26,468842379471,Chrome,Mac 10.12 Sierra,Mac,1,[21164348],Washington,11
27,468842379470,Chrome,Mac 10.12 Sierra,Mac,1,[21164348],Washington,11
28,468396459169,Safari,iOS 10.3,Smart Phone,1,[21172935],Massachusetts,23
29,469105206619,Unsupported,iOS 10.3,Tablet,1,[21172958],Wisconsin,15
30,470344417147,Safari,iOS 10.3,Smart Phone,1,[21172800],Washington,14
31,468396459170,Safari,iOS 10.3,Smart Phone,1,[21172935],Massachusetts,23
32,471722040551,Chrome,Windows 10,PC,1,[21164348],Minnesota,8
33,471722040550,Chrome,Windows 10,PC,1,[21164348],Minnesota,8
34,464914698488,Chrome,iOS 10.3,Tablet,1,[21164354],Washington,17
35,464914698489,Chrome,iOS 10.3,Tablet,1,[21164354],Washington,17
